PSMSL_site,NOAA_name,PSMSLID,NOAAID,lat,lon
SEATTLE,Seattle,127,9447130,47.6,-122.34
SEAVEY_ISLAND,Seavey Island,288,8419870,43.08,-70.74
SELDOVIA,Seldovia,1070,9455500,59.44,-151.72
SEWARD,Seward,266,9455090,60.12,-149.43
SEWELLS_POINT,Sewells Point,299,8638610,36.95,-76.33
SITKA,Sitka,426,9451600,57.05,-135.34
SKAGWAY,Skagway Taiya Inlet,495,9452400,59.45,-135.33
SOLOMONS_ISLAND,Solomons Island,412,8577330,38.32,-76.45
SOUTH_BEACH,South Beach,1196,9435380,44.62,-124.04
SPRINGMAID_PIER,Springmaid Pier,1444,8661070,33.66,-78.92
ST_GEORGES,Bermuda Biological Station,368,2695535,32.37,-64.7
ST_PETERSBURG,St. Petersburg Tampa Bay,520,8726520,27.76,-82.63
TOKE_POINT,Toke Point,1354,9440910,46.71,-123.97
TOLCHESTER_BEACH,Tolchester Beach,2323,8573364,39.21,-76.25
TRIDENT_PIER,Trident Pier Port Canaveral,2123,8721604,28.41,-80.59
UNALASKA,Unalaska,757,9462620,53.88,-166.54
VACA_KEY,Vaca Key Florida Bay,1701,8723970,24.71,-81.11
VALDEZ,Valdez,1353,9454240,61.12,-146.36
VIRGINIA_KEY,Virginia Key Biscayne Bay,1858,8723214,25.73,-80.16
WAKE_ISLAND,Wake Island Pacific Ocean,595,1890000,19.29,166.62
WASHINGTON_DC,Washington,360,8594900,38.87,-77.02
WILMINGTON,Wilmington,396,8658120,34.23,-77.95
WOODS_HOLE,Woods Hole,367,8447930,41.52,-70.67
YAKUTAT,Yakutat Yakutat Bay,445,9453220,59.55,-139.73
